date,min_temp,max_temp,avg_temp
2019-02-16,64.40,75.38,70
2019-02-17,63.68,69.08,65
2019-03-01,64.76,78.08,69
2019-03-02,64.76,72.32,67
2019-03-03,64.76,67.64,66
2019-03-04,64.40,83.66,70
2019-03-05,63.86,85.10,70
2019-03-06,63.68,80.42,69
2019-03-07,63.50,77.18,69
2019-03-08,63.68,72.68,69
2019-03-12,65.66,85.10,72
2019-03-13,63.14,73.22,69
2019-03-14,63.86,75.38,70
2019-03-15,70.16,70.88,70
2019-03-17,64.40,84.20,71
2019-03-18,63.32,76.64,69
2019-03-19,63.32,71.78,68
2019-03-24,68.54,75.74,72
2019-03-25,66.02,71.60,69
